Begegnung mit Toki,"Gunchi, Kiri","Gunchi, Kiri",altraverse,abgeschlossen,3,3,de,Mystery,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/99965-cxj9vyJ6NrvK.jpg,,
Bilder der Liebe,"Samamiya, Akaza","Samamiya, Akaza",Tokyopop,abgeschlossen,1,1,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/89953-Gz5tEqyZGoqW.jpg,,
Biomega,"Nihei, Tsutomu","Nihei, Tsutomu",Egmont,abgeschlossen,6,1,de,Science Fiction,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/n31409-GES0ALfzL0UK.jpg,,
Biyaku Café,"Ukyou, Ayane","Ukyou, Ayane",Egmont,abgeschlossen,7,4,de,Shojo,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/11522.jpg,,
Black Bullet (Novel),"Kanzaki, Shiden","Ukai, Saki",Tokyopop,laufend,,4,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/45597.jpg,,
Black Lagoon,"Hiroe, Rei","Hiroe, Rei",Carlsen,laufend,,1,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx30735-P31qXacg4eOc.jpg,,
Bleach,"Kubo, Tite","Kubo, Tite",Tokyopop,abgeschlossen,74,5,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/12-UvTZ3kLjNVAV.png,,
Blood Lad,"Kodama, Yuuki","Kodama, Yuuki",Tokyopop,abgeschlossen,17,1,de,Comedy,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx51614-a97OJAACStsn.jpg,,
Blood-C,CLAMP,"Kotone, Ranmaru",Kazé,abgeschlossen,4,3,de,Action,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx56182-TWw4HKLv9Wem.jpg,,
Bloom into you,"Nakatani, Nio","Nakatani, Nio",Carlsen,abgeschlossen,8,4,de,Yuri,"https://images-na.ssl-images-amazon.com/images/I/517-8LtzHeL._SX345_BO1,204,203,200_.jpg",,
Bloom into you,"Nakatani, Nio","Nakatani, Nio",Seven Seas,abgeschlossen,8,6,eng,Yuri,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx86218-k8GHlUk2U1v6.jpg,,
Blue Flag,Kaito,Kaito,Carlsen,laufend,,3,de,Drama,https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx98334-4GzZcjlCd0z5.jpg,,
